(Log @ 18.38.11): Working directory changed from "" to "C:\Users\Tim Roberts\Documents\1_NevronEngine\bin\"
(Log @ 18.38.11): NevronEngine initializing...
(Multiplication time @ 18.38.22): 89.208707ns
(Multiplication time @ 18.38.23): 88.254400ns
(Multiplication time @ 18.38.23): 90.606704ns
(Multiplication time @ 18.38.23): 87.658599ns
(Multiplication time @ 18.38.23): 89.162797ns
(Multiplication time @ 18.38.23): 89.254603ns
(Multiplication time @ 18.38.23): 88.912800ns
(Multiplication time @ 18.38.23): 89.257002ns
(Multiplication time @ 18.38.23): 87.201998ns
(Framerate @ 18.38.23): 10.728232
(Multiplication time @ 18.38.23): 89.906998ns
(Multiplication time @ 18.38.23): 87.640002ns
(Multiplication time @ 18.38.23): 88.529401ns
(Multiplication time @ 18.38.24): 86.824097ns
(Multiplication time @ 18.38.24): 91.683999ns
(Multiplication time @ 18.38.24): 91.551401ns
(Multiplication time @ 18.38.24): 90.646707ns
(Multiplication time @ 18.38.24): 88.491693ns
(Multiplication time @ 18.38.24): 88.820800ns
(Multiplication time @ 18.38.24): 87.752894ns
(Multiplication time @ 18.38.24): 89.140400ns
(Multiplication time @ 18.38.24): 89.318998ns
(Multiplication time @ 18.38.24): 89.769602ns
(Multiplication time @ 18.38.25): 89.574002ns
(Multiplication time @ 18.38.25): 87.595299ns
(Multiplication time @ 18.38.25): 89.412399ns
(Multiplication time @ 18.38.25): 86.832702ns
(Multiplication time @ 18.38.25): 89.711398ns
(Multiplication time @ 18.38.25): 87.748893ns
(Multiplication time @ 18.38.25): 88.635698ns
(Multiplication time @ 18.38.25): 87.844796ns
(Multiplication time @ 18.38.25): 90.905003ns
(Multiplication time @ 18.38.25): 88.651106ns
(Multiplication time @ 18.38.25): 87.583698ns
(Multiplication time @ 18.38.26): 88.849001ns
(Multiplication time @ 18.38.26): 88.445298ns
(Multiplication time @ 18.38.26): 91.591299ns
(Multiplication time @ 18.38.26): 92.078499ns
(Multiplication time @ 18.38.26): 92.150494ns
(Multiplication time @ 18.38.26): 87.910496ns
(Framerate @ 18.38.26): 10.335501
(Multiplication time @ 18.38.26): 89.151695ns
(Multiplication time @ 18.38.26): 86.997002ns
(Multiplication time @ 18.38.26): 96.001297ns
(Multiplication time @ 18.38.26): 87.800093ns
(Multiplication time @ 18.38.26): 88.775299ns
(Multiplication time @ 18.38.27): 86.741999ns
(Multiplication time @ 18.38.27): 90.674199ns
(Multiplication time @ 18.38.27): 88.891298ns
(Multiplication time @ 18.38.27): 88.339202ns
(Multiplication time @ 18.38.27): 99.611104ns
(Multiplication time @ 18.38.27): 88.447601ns
(Multiplication time @ 18.38.27): 89.781597ns
(Multiplication time @ 18.38.27): 87.470897ns
(Multiplication time @ 18.38.27): 90.334602ns
(Multiplication time @ 18.38.27): 89.074098ns
(Multiplication time @ 18.38.28): 90.237603ns
(Multiplication time @ 18.38.28): 87.790705ns
(Multiplication time @ 18.38.28): 88.630803ns
(Multiplication time @ 18.38.28): 88.165000ns
(Multiplication time @ 18.38.28): 89.594603ns
(Multiplication time @ 18.38.28): 89.128204ns
(Multiplication time @ 18.38.28): 88.047601ns
(Multiplication time @ 18.38.28): 90.128705ns
(Multiplication time @ 18.38.28): 93.087398ns
(Multiplication time @ 18.38.28): 90.454705ns
(Multiplication time @ 18.38.28): 90.030894ns
(Multiplication time @ 18.38.29): 90.190798ns
(Multiplication time @ 18.38.29): 88.150002ns
(Multiplication time @ 18.38.29): 89.451000ns
(Multiplication time @ 18.38.29): 87.221399ns
(Framerate @ 18.38.29): 10.697373
(Multiplication time @ 18.38.29): 90.455003ns
(Multiplication time @ 18.38.29): 87.689400ns
(Multiplication time @ 18.38.29): 87.549105ns
(Multiplication time @ 18.38.29): 90.401500ns
(Multiplication time @ 18.38.29): 89.389905ns
(Multiplication time @ 18.38.29): 89.912198ns
(Multiplication time @ 18.38.29): 88.192493ns
(Multiplication time @ 18.38.30): 90.202495ns
(Multiplication time @ 18.38.30): 88.550493ns
(Multiplication time @ 18.38.30): 98.664097ns
(Multiplication time @ 18.38.30): 89.772202ns
(Multiplication time @ 18.38.30): 89.236602ns
(Multiplication time @ 18.38.30): 88.965699ns
(Multiplication time @ 18.38.30): 88.975504ns
(Multiplication time @ 18.38.30): 88.895693ns
(Multiplication time @ 18.38.30): 89.832701ns
(Multiplication time @ 18.38.30): 89.394800ns
(Multiplication time @ 18.38.31): 89.229196ns
(Multiplication time @ 18.38.31): 89.247108ns
(Multiplication time @ 18.38.31): 86.694703ns
(Multiplication time @ 18.38.31): 91.724999ns
(Multiplication time @ 18.38.31): 89.722604ns
(Multiplication time @ 18.38.31): 89.137293ns
(Multiplication time @ 18.38.31): 88.709801ns
(Multiplication time @ 18.38.31): 88.289000ns
(Multiplication time @ 18.38.31): 90.730898ns
(Multiplication time @ 18.38.31): 89.713201ns
(Multiplication time @ 18.38.31): 90.266198ns
(Multiplication time @ 18.38.32): 88.817403ns
(Multiplication time @ 18.38.32): 89.083694ns
(Framerate @ 18.38.32): 10.753058
(Multiplication time @ 18.38.32): 86.873204ns
(Multiplication time @ 18.38.32): 89.611597ns
(Multiplication time @ 18.38.32): 89.002997ns
(Multiplication time @ 18.38.32): 90.000398ns
(Multiplication time @ 18.38.32): 90.044096ns
(Multiplication time @ 18.38.32): 89.668602ns
(Multiplication time @ 18.38.32): 90.985298ns
(Multiplication time @ 18.38.32): 92.170797ns
(Multiplication time @ 18.38.32): 88.731602ns
(Multiplication time @ 18.38.33): 87.820403ns
(Multiplication time @ 18.38.33): 96.629694ns
(Multiplication time @ 18.38.33): 86.405501ns
(Multiplication time @ 18.38.33): 89.957699ns
(Multiplication time @ 18.38.33): 87.615103ns
(Multiplication time @ 18.38.33): 90.425402ns
(Multiplication time @ 18.38.33): 88.846400ns
(Multiplication time @ 18.38.33): 90.803906ns
(Multiplication time @ 18.38.33): 89.003198ns
(Multiplication time @ 18.38.33): 89.287698ns
(Multiplication time @ 18.38.34): 86.804204ns
(Multiplication time @ 18.38.34): 89.538500ns
(Multiplication time @ 18.38.34): 88.608302ns
(Multiplication time @ 18.38.34): 87.705202ns
(Multiplication time @ 18.38.34): 89.604706ns
(Multiplication time @ 18.38.34): 87.720305ns
(Multiplication time @ 18.38.34): 91.456197ns
(Multiplication time @ 18.38.34): 89.308999ns
(Multiplication time @ 18.38.34): 89.476898ns
(Multiplication time @ 18.38.34): 88.704400ns
(Multiplication time @ 18.38.34): 88.560097ns
(Framerate @ 18.38.34): 10.690716
(Multiplication time @ 18.38.35): 87.247506ns
(Multiplication time @ 18.38.35): 88.606700ns
(Multiplication time @ 18.38.35): 88.768803ns
(Multiplication time @ 18.38.35): 88.382095ns
(Multiplication time @ 18.38.35): 92.301100ns
(Multiplication time @ 18.38.35): 86.954601ns
(Multiplication time @ 18.38.35): 88.415504ns
(Multiplication time @ 18.38.35): 88.708498ns
(Multiplication time @ 18.38.35): 91.598198ns
(Multiplication time @ 18.38.35): 88.715106ns
(Multiplication time @ 18.38.35): 93.766302ns
(Multiplication time @ 18.38.36): 87.819599ns
(Multiplication time @ 18.38.36): 93.283802ns
(Multiplication time @ 18.38.36): 89.871198ns
(Multiplication time @ 18.38.36): 93.443505ns
(Multiplication time @ 18.38.36): 87.214403ns
(Multiplication time @ 18.38.36): 89.915998ns
(Multiplication time @ 18.38.36): 87.324895ns
(Multiplication time @ 18.38.36): 88.658497ns
(Multiplication time @ 18.38.36): 92.797697ns
(Multiplication time @ 18.38.36): 88.574708ns
(Multiplication time @ 18.38.37): 89.019999ns
(Multiplication time @ 18.38.37): 88.560700ns
(Multiplication time @ 18.38.37): 88.698201ns
(Multiplication time @ 18.38.37): 88.023797ns
(Multiplication time @ 18.38.37): 91.339692ns
(Multiplication time @ 18.38.37): 89.701101ns
(Multiplication time @ 18.38.37): 93.093902ns
(Multiplication time @ 18.38.37): 87.287799ns
(Multiplication time @ 18.38.37): 91.549397ns
(Framerate @ 18.38.37): 10.879286
(Multiplication time @ 18.38.37): 88.989101ns
(Multiplication time @ 18.38.37): 87.931603ns
(Multiplication time @ 18.38.38): 87.476499ns
(Multiplication time @ 18.38.38): 88.359103ns
(Multiplication time @ 18.38.38): 87.934799ns
(Multiplication time @ 18.38.38): 88.765599ns
(Multiplication time @ 18.38.38): 90.890706ns
(Multiplication time @ 18.38.38): 87.298401ns
(Multiplication time @ 18.38.38): 89.849196ns
(Multiplication time @ 18.38.38): 88.043801ns
(Multiplication time @ 18.38.38): 92.869297ns
(Multiplication time @ 18.38.38): 88.643104ns
(Multiplication time @ 18.38.39): 89.562498ns
(Multiplication time @ 18.38.39): 87.531798ns
(Multiplication time @ 18.38.39): 89.385197ns
(Multiplication time @ 18.38.39): 88.111296ns
(Multiplication time @ 18.38.39): 92.325799ns
(Multiplication time @ 18.38.39): 91.169998ns
(Multiplication time @ 18.38.39): 91.014199ns
(Multiplication time @ 18.38.39): 91.064893ns
(Multiplication time @ 18.38.39): 89.685105ns
(Multiplication time @ 18.38.39): 91.233604ns
(Multiplication time @ 18.38.39): 90.802804ns
(Multiplication time @ 18.38.40): 90.306602ns
(Multiplication time @ 18.38.40): 89.047693ns
(Multiplication time @ 18.38.40): 94.158798ns
(Multiplication time @ 18.38.40): 87.981798ns
(Multiplication time @ 18.38.41): 92.698596ns
(Multiplication time @ 18.38.41): 89.877397ns
(Multiplication time @ 18.38.41): 90.726301ns
(Framerate @ 18.38.41): 10.617414
(Multiplication time @ 18.38.41): 87.086603ns
(Multiplication time @ 18.38.41): 91.422893ns
(Multiplication time @ 18.38.41): 88.687398ns
(Multiplication time @ 18.38.41): 89.037798ns
(Multiplication time @ 18.38.41): 87.973602ns
(Multiplication time @ 18.38.41): 89.944802ns
(Multiplication time @ 18.38.41): 89.064896ns
(Multiplication time @ 18.38.41): 88.714398ns
(Multiplication time @ 18.38.42): 90.943299ns
(Multiplication time @ 18.38.42): 90.690099ns
(Multiplication time @ 18.38.42): 91.877803ns
(Multiplication time @ 18.38.42): 90.705402ns
(Multiplication time @ 18.38.42): 90.660892ns
(Multiplication time @ 18.38.42): 88.814899ns
